held_out,auc,sens,spec,f1,youden_threshold,n,safe_n,risky_n
participant_01,0.6420880943269003,0.48412698412698413,0.7876004592422503,0.5446428571428571,0.47070591327413785,1501,871,630
participant_02,0.7069925099775847,0.5238095238095238,0.7864523536165328,0.5759162303664922,0.5893936260147149,1501,871,630
participant_03,0.5987188599128898,0.6777777777777778,0.5189437428243399,0.5785907859078591,0.24617806869216424,1501,871,630
participant_04,0.6742044134727062,0.41904761904761906,0.8658536585365854,0.5258964143426295,0.4193481487968373,1450,820,630
participant_05,0.5897641249661636,0.3642276422764228,0.851894374282434,0.4628099173553719,0.5850518701947663,1486,871,615
participant_06,0.746986678329962,0.5936507936507937,0.8243398392652124,0.6464995678478824,0.45089593594622795,1501,871,630
participant_07,0.6158627954596565,0.5175257731958763,0.703788748564868,0.5050301810865191,0.4098676709260654,1356,871,485
participant_08,0.6452602350510139,0.5880149812734082,0.6425287356321839,0.5418464193270061,0.36782737514285146,1404,870,534
participant_09,0.5472564566235452,0.2640144665461121,0.8974358974358975,0.36545682102628285,0.6021401509669848,1528,975,553
