session,auc_imu,auc_hyb,delta
participant_14__session_01,0.9079138986973088,0.9671753745486465,0.059261475851337786
participant_14__session_02,0.8301333932853716,0.8831872002398083,0.05305380695443673
participant_14__session_03,0.515342557370148,0.6983006655768926,0.18295810820674463
participant_14__session_04,0.8807376549481812,0.8953078642552328,0.014570209307051551
participant_14__session_06,0.8881969113412855,0.9180402348278054,0.029843323486519857
participant_14__session_07,0.8291495878765148,0.8427389467856155,0.013589358909100624
participant_14__session_08,0.8031310823390031,0.797033934162647,-0.006097148176356093
participant_14__session_09,0.8681346002774575,0.9037966537966537,0.03566205351919627
participant_14__session_10,0.8163582135209544,0.8531221321505048,0.03676391862955042
participant_14__session_11,0.6044749570292202,0.568266578726466,-0.03620837830275414
participant_14__session_12,0.5759692083806518,0.7518831079044062,0.17591389952375436
participant_14__session_13,0.8853602653498434,0.8923993151194819,0.007039049769638539
participant_14__session_14,0.8704302955349907,0.9319408077103501,0.06151051217535941
